row,cat_id,name,bucket,confidence,frequency,threshold,total_images,num_positives,num_negatives,TP,FP,TN,FN,precision,recall,f1,weighted_f1
75,76,bear,high,high,f,0.4,100169,646,99523,260,365,99158,386,0.416,0.4025,0.4091,0.4132
76,77,bed,high,high,f,0.41,100169,1765,98404,546,361,98043,1219,0.602,0.3093,0.4087,0.5062
77,78,bedpan,weak,low,r,0.45,100169,2,100167,0,0,100167,2,0.0,0.0,0.0,0.0
78,79,bedspread,high,high,f,0.39,100169,125,100044,37,1000,99044,88,0.0357,0.296,0.0637,0.0433
79,80,cow,high,high,f,0.41,100169,1420,98749,500,199,98550,920,0.7153,0.3521,0.4719,0.593
80,81,beef_(food),high,high,f,0.38,100169,140,100029,21,450,99579,119,0.0446,0.15,0.0687,0.0519
81,82,beeper,weak,low,r,0.45,100169,4,100165,0,0,100165,4,0.0,0.0,0.0,0.0
82,83,beer_bottle,high,high,f,0.39,100169,322,99847,26,190,99657,296,0.1204,0.0807,0.0967,0.1096
83,84,beer_can,medium,medium,c,0.44,100169,60,100109,1,4,100105,59,0.2,0.0167,0.0308,0.0625
84,85,beetle,weak,low,r,0.45,100169,2,100167,0,0,100167,2,0.0,0.0,0.0,0.0
85,86,bell,high,high,f,0.39,100169,231,99938,6,496,99442,225,0.012,0.026,0.0164,0.0134
86,87,bell_pepper,high,high,f,0.4,100169,333,99836,11,248,99588,322,0.0425,0.033,0.0372,0.0402
87,88,belt,high,high,f,0.35,100169,1941,98228,857,15835,82393,1084,0.0513,0.4415,0.092,0.0624
88,89,belt_buckle,high,high,f,0.38,100169,367,99802,7,198,99604,360,0.0341,0.0191,0.0245,0.0295
89,90,bench,high,high,f,0.39,100169,1922,98247,397,560,97687,1525,0.4148,0.2066,0.2758,0.3452
90,91,beret,medium,medium,c,0.36,100169,18,100151,5,7234,92917,13,0.0007,0.2778,0.0014,0.0009
91,92,bib,medium,medium,c,0.38,100169,81,100088,8,330,99758,73,0.0237,0.0988,0.0382,0.0279
92,93,Bible,weak,low,r,0.45,100169,1,100168,0,0,100168,1,0.0,0.0,0.0,0.0
93,94,bicycle,high,high,f,0.4,100169,1852,98317,409,600,97717,1443,0.4054,0.2208,0.2859,0.3473
94,95,visor,high,high,f,0.34,100169,430,99739,305,63038,36701,125,0.0048,0.7093,0.0096,0.006
95,96,billboard,high,high,f,0.4,100169,247,99922,15,181,99741,232,0.0765,0.0607,0.0677,0.0727
96,97,binder,medium,medium,c,0.37,100169,94,100075,5,494,99581,89,0.01,0.0532,0.0169,0.012
97,98,binoculars,medium,medium,c,0.36,100169,21,100148,1,2030,98118,20,0.0005,0.0476,0.001,0.0006
98,99,bird,high,high,f,0.38,100169,1821,98348,845,552,97796,976,0.6049,0.464,0.5252,0.5703
99,100,birdfeeder,medium,medium,c,0.45,100169,16,100153,2,0,100153,14,1.0,0.125,0.2222,0.4167
100,101,birdbath,medium,medium,c,0.46,100169,12,100157,1,0,100157,11,1.0,0.0833,0.1538,0.3125
101,102,birdcage,medium,medium,c,0.44,100169,25,100144,1,1,100143,24,0.5,0.04,0.0741,0.1515
102,103,birdhouse,medium,medium,c,0.42,100169,41,100128,4,16,100112,37,0.2,0.0976,0.1311,0.1653
103,104,birthday_cake,high,high,f,0.45,100169,244,99925,54,68,99857,190,0.4426,0.2213,0.2951,0.3689
104,105,birthday_card,weak,low,r,0.45,100169,7,100162,0,0,100162,7,0.0,0.0,0.0,0.0
105,106,pirate_flag,weak,low,r,0.45,100169,1,100168,0,1,100167,1,0.0,0.0,0.0,0.0
106,107,black_sheep,medium,medium,c,0.44,100169,40,100129,2,7,100122,38,0.2222,0.05,0.0816,0.1316
107,108,blackberry,medium,medium,c,0.37,100169,40,100129,5,2678,97451,35,0.0019,0.125,0.0037,0.0023
108,109,blackboard,high,high,f,0.41,100169,104,100065,2,3,100062,102,0.4,0.0192,0.0367,0.0806
109,110,blanket,high,high,f,0.39,100169,1671,98498,444,896,97602,1227,0.3313,0.2657,0.2949,0.3157
110,111,blazer,medium,medium,c,0.38,100169,49,100120,1,270,99850,48,0.0037,0.0204,0.0063,0.0044
111,112,blender,high,high,f,0.38,100169,243,99926,11,274,99652,232,0.0386,0.0453,0.0417,0.0398
112,113,blimp,weak,low,r,0.45,100169,2,100167,0,0,100167,2,0.0,0.0,0.0,0.0
113,114,blinker,high,high,f,0.34,100169,242,99927,210,75873,24054,32,0.0028,0.8678,0.0055,0.0034
114,115,blouse,high,high,f,0.37,100169,271,99898,11,700,99198,260,0.0155,0.0406,0.0224,0.0177
115,116,blueberry,high,high,f,0.41,100169,104,100065,4,5,100060,100,0.4444,0.0385,0.0708,0.1429
116,117,gameboard,weak,low,r,0.45,100169,8,100161,0,0,100161,8,0.0,0.0,0.0,0.0
117,118,boat,high,high,f,0.38,100169,1758,98411,557,304,98107,1201,0.6469,0.3168,0.4254,0.5354
118,119,bob,weak,low,r,0.45,100169,1,100168,0,0,100168,1,0.0,0.0,0.0,0.0
119,120,bobbin,medium,medium,c,0.37,100169,48,100121,5,4894,95227,43,0.001,0.1042,0.002,0.0013
120,121,bobby_pin,medium,medium,c,0.33,100169,14,100155,12,67505,32650,2,0.0002,0.8571,0.0004,0.0002
121,122,boiled_egg,medium,medium,c,0.4,100169,40,100129,2,222,99907,38,0.0089,0.05,0.0152,0.0107
122,123,bolo_tie,weak,low,r,0.45,100169,1,100168,0,0,100168,1,0.0,0.0,0.0,0.0
123,124,deadbolt,medium,medium,c,0.35,100169,37,100132,14,24872,75260,23,0.0006,0.3784,0.0011,0.0007
124,125,bolt,high,high,f,0.38,100169,1510,98659,79,535,98124,1431,0.1287,0.0523,0.0744,0.0996
125,126,bonnet,weak,low,r,0.45,100169,6,100163,0,0,100163,6,0.0,0.0,0.0,0.0
126,127,book,high,high,f,0.37,100169,1903,98266,250,480,97786,1653,0.3425,0.1314,0.1899,0.2592
127,128,bookcase,medium,medium,c,0.43,100169,70,100099,7,47,100052,63,0.1296,0.1,0.1129,0.1224
128,129,booklet,medium,medium,c,0.37,100169,86,100083,5,129,99954,81,0.0373,0.0581,0.0455,0.0402
129,130,bookmark,weak,low,r,0.45,100169,7,100162,0,0,100162,7,0.0,0.0,0.0,0.0
130,131,boom_microphone,weak,low,r,0.45,100169,5,100164,0,0,100164,5,0.0,0.0,0.0,0.0
131,132,boot,high,high,f,0.39,100169,1406,98763,20,603,98160,1386,0.0321,0.0142,0.0197,0.0257
132,133,bottle,high,high,f,0.38,100169,1901,98268,108,825,97443,1793,0.1158,0.0568,0.0762,0.0959
133,134,bottle_opener,medium,medium,c,0.42,100169,15,100154,1,11,100143,14,0.0833,0.0667,0.0741,0.0794
134,135,bouquet,medium,medium,c,0.44,100169,28,100141,1,19,100122,27,0.05,0.0357,0.0417,0.0463
135,136,bow_(weapon),weak,low,r,0.45,100169,6,100163,0,0,100163,6,0.0,0.0,0.0,0.0
136,137,bow_(decorative_ribbons),high,high,f,0.34,100169,494,99675,265,48419,51256,229,0.0054,0.5364,0.0108,0.0068
137,138,bow-tie,high,high,f,0.41,100169,234,99935,3,4,99931,231,0.4286,0.0128,0.0249,0.0573
138,139,bowl,high,high,f,0.37,100169,1922,98247,557,6653,91594,1365,0.0773,0.2898,0.122,0.0905
139,140,pipe_bowl,weak,low,r,0.45,100169,1,100168,0,0,100168,1,0.0,0.0,0.0,0.0
140,141,bowler_hat,medium,medium,c,0.41,100169,35,100134,1,11,100123,34,0.0833,0.0286,0.0426,0.0602
141,142,bowling_ball,weak,low,r,0.45,100169,5,100164,0,2,100162,5,0.0,0.0,0.0,0.0
142,143,box,high,high,f,0.38,100169,1828,98341,147,1321,97020,1681,0.1001,0.0804,0.0892,0.0955
143,144,boxing_glove,weak,low,r,0.45,100169,8,100161,0,0,100161,8,0.0,0.0,0.0,0.0
144,145,suspenders,medium,medium,c,0.4,100169,63,100106,1,76,100030,62,0.013,0.0159,0.0143,0.0135
145,146,bracelet,high,high,f,0.35,100169,1667,98502,341,7893,90609,1326,0.0414,0.2046,0.0689,0.0493
146,147,brass_plaque,weak,low,r,0.45,100169,4,100165,0,0,100165,4,0.0,0.0,0.0,0.0
147,148,brassiere,medium,medium,c,0.38,100169,95,100074,1,55,100019,94,0.0179,0.0105,0.0132,0.0157
148,149,bread-bin,medium,medium,c,0.36,100169,17,100152,9,14278,85874,8,0.0006,0.5294,0.0013,0.0008
149,150,bread,high,high,f,0.4,100169,1567,98602,180,573,98029,1387,0.239,0.1149,0.1552,0.1965
150,151,breechcloth,weak,low,r,0.45,100169,2,100167,0,0,100167,2,0.0,0.0,0.0,0.0
151,152,bridal_gown,high,high,f,0.39,100169,103,100066,28,47,100019,75,0.3733,0.2718,0.3146,0.3474
