row,cat_id,name,bucket,frequency,threshold,subset_total,num_positives,num_negatives,TP,FP,TN,FN,precision,recall,f1,weighted_f1
1070,1071,teddy_bear,high,f,0.36,2826,1413,1413,1080,34,1379,333,0.9695,0.7643,0.8548,0.9201
1071,1072,telephone,high,f,0.35,1544,772,772,443,155,617,329,0.7408,0.5738,0.6467,0.7001
1072,1073,telephone_booth,medium,c,0.32,100,50,50,38,13,37,12,0.7451,0.76,0.7525,0.748
1073,1074,telephone_pole,high,f,0.34,2030,1015,1015,592,167,848,423,0.78,0.5833,0.6674,0.7307
1074,1075,telephoto_lens,weak,r,0.2,2,1,1,1,1,0,0,0.5,1.0,0.6667,0.5556
1075,1076,television_camera,medium,c,0.29,130,65,65,59,41,24,6,0.59,0.9077,0.7152,0.6344
1076,1077,television_set,high,f,0.36,3800,1900,1900,1304,119,1781,596,0.9164,0.6863,0.7848,0.8588
1077,1078,tennis_ball,high,f,0.37,2604,1302,1302,1163,22,1280,139,0.9814,0.8932,0.9353,0.9624
1078,1079,tennis_racket,high,f,0.36,3954,1977,1977,1786,28,1949,191,0.9846,0.9034,0.9422,0.9672
1079,1080,tequila,weak,r,0.31,4,2,2,2,0,2,0,1.0,1.0,1.0,1.0
1080,1081,thermometer,medium,c,0.3,58,29,29,29,19,10,0,0.6042,1.0,0.7532,0.6561
1081,1082,thermos_bottle,medium,c,0.31,72,36,36,20,10,26,16,0.6667,0.5556,0.6061,0.641
1082,1083,thermostat,high,f,0.31,276,138,138,100,31,107,38,0.7634,0.7246,0.7435,0.7553
1083,1084,thimble,weak,r,0.34,8,4,4,4,0,4,0,1.0,1.0,1.0,1.0
1084,1085,thread,medium,c,0.37,134,67,67,39,2,65,28,0.9512,0.5821,0.7222,0.8442
1085,1086,thumbtack,medium,c,0.35,52,26,26,22,4,22,4,0.8462,0.8462,0.8462,0.8462
1086,1087,tiara,medium,c,0.33,50,25,25,22,1,24,3,0.9565,0.88,0.9167,0.9402
1087,1088,tiger,medium,c,0.32,66,33,33,22,11,22,11,0.6667,0.6667,0.6667,0.6667
1088,1089,tights_(clothing),medium,c,0.35,74,37,37,23,8,29,14,0.7419,0.6216,0.6765,0.7143
1089,1090,timer,medium,c,0.2,100,50,50,50,50,0,0,0.5,1.0,0.6667,0.5556
1090,1091,tinfoil,high,f,0.34,540,270,270,189,133,137,81,0.587,0.7,0.6385,0.6065
1091,1092,tinsel,medium,c,0.37,24,12,12,9,0,12,3,1.0,0.75,0.8571,0.9375
1092,1093,tissue_paper,high,f,0.3,632,316,316,249,165,151,67,0.6014,0.788,0.6822,0.6313
1093,1094,toast_(food),medium,c,0.36,82,41,41,34,7,34,7,0.8293,0.8293,0.8293,0.8293
1094,1095,toaster,high,f,0.35,448,224,224,166,49,175,58,0.7721,0.7411,0.7563,0.7657
1095,1096,toaster_oven,high,f,0.34,210,105,105,77,8,97,28,0.9059,0.7333,0.8105,0.8652
1096,1097,toilet,high,f,0.37,3850,1925,1925,1799,67,1858,126,0.9641,0.9345,0.9491,0.958
1097,1098,toilet_tissue,high,f,0.36,2042,1021,1021,942,35,986,79,0.9642,0.9226,0.9429,0.9556
1098,1099,tomato,high,f,0.33,2426,1213,1213,939,217,996,274,0.8123,0.7741,0.7927,0.8044
1099,1100,tongs,high,f,0.34,344,172,172,153,138,34,19,0.5258,0.8895,0.6609,0.5726
1100,1101,toolbox,medium,c,0.34,56,28,28,25,6,22,3,0.8065,0.8929,0.8475,0.8224
1101,1102,toothbrush,high,f,0.36,1490,745,745,516,52,693,229,0.9085,0.6926,0.786,0.8552
